round, agent, score
47, MarkovDecisionProcessAgentAdjusted, 15
48, AlwaysHoldAgent, 11
48, PerfectionistAgent, -88
48, OneStepLookAheadAgent, 11
48, RiskyAgent, 11
48, CautiousAgent, 11
48, MarkovDecisionProcessAgent, 11
48, MarkovDecisionProcessAgentAdjusted, 11
49, AlwaysHoldAgent, 7
49, PerfectionistAgent, -36
49, OneStepLookAheadAgent, 14
49, RiskyAgent, 14
49, CautiousAgent, 14
49, MarkovDecisionProcessAgent, 14
49, MarkovDecisionProcessAgentAdjusted, 14
50, AlwaysHoldAgent, 8
50, PerfectionistAgent, -17
50, OneStepLookAheadAgent, 12
50, RiskyAgent, 12
50, CautiousAgent, 12
50, MarkovDecisionProcessAgent, 11
50, MarkovDecisionProcessAgentAdjusted, 11
51, AlwaysHoldAgent, 4
51, PerfectionistAgent, 17
51, OneStepLookAheadAgent, 13
51, RiskyAgent, 13
51, CautiousAgent, 13
51, MarkovDecisionProcessAgent, 14
51, MarkovDecisionProcessAgentAdjusted, 14
52, AlwaysHoldAgent, 10
52, PerfectionistAgent, 5
52, OneStepLookAheadAgent, 10
52, RiskyAgent, 10
52, CautiousAgent, 10
52, MarkovDecisionProcessAgent, 15
52, MarkovDecisionProcessAgentAdjusted, 15
53, AlwaysHoldAgent, 10
53, PerfectionistAgent, 3
53, OneStepLookAheadAgent, 12
53, RiskyAgent, 12
53, CautiousAgent, 10
53, MarkovDecisionProcessAgent, 12
53, MarkovDecisionProcessAgentAdjusted, 12
54, AlwaysHoldAgent, 13
54, PerfectionistAgent, -50
54, OneStepLookAheadAgent, 13
54, RiskyAgent, 13
54, CautiousAgent, 13
54, MarkovDecisionProcessAgent, 13
54, MarkovDecisionProcessAgentAdjusted, 13
55, AlwaysHoldAgent, 11
55, PerfectionistAgent, -31
55, OneStepLookAheadAgent, 14
55, RiskyAgent, 14
55, CautiousAgent, 14
55, MarkovDecisionProcessAgent, 14
55, MarkovDecisionProcessAgentAdjusted, 14
56, AlwaysHoldAgent, 15
56, PerfectionistAgent, 5
56, OneStepLookAheadAgent, 15
56, RiskyAgent, 15
56, CautiousAgent, 15
